Ref	SEG	Example
ER4_MKE	1-4	ER4
ER4_LGH	6-9	0533
ER4_DOE	10-17	20000522
ER4_ORG	18-21	07#Z
ER4_DPS	37-44	12345678
ER4_TRN	54-63	9267240765
ER4_DOA	65-72	05222000
ER4_TRS	73-76	A123
ER4_CSC	77	A
ER4_CAU	078 - 097 	AabBcCdDeE1234567890
ER4_FPO	98	5
ER4_ORIC	099 - 127 	TX0154400
ER4_CDD	128 - 135 	05222000
ER4_GOCC	136	A
ER4_CON	137 - 144 	12349876
ER4_COL	145 - 190 	abcdefghijklmnopqrstuvwxyz01234567899876543210
ER4_CIT	191 - 207 	abcdefg0123456789
ER4_LDC	208 - 209 	FS
ER4_CDN	210 - 212 	681
ER4_DOS	213 - 220 	05222000
ER4_CSS	221 - 232 	012345678910
ER4_CSF	233 - 240 	12345678
ER4_CMT	241 - 252 	012345678910
ER4_CPR	253 - 264 	012345678910
ER4_CFN	265 - 272 	12345678
ER4_CST	273 - 278 	123456
ER4_CPL	279 - 328 	01234567890123456789012345678901234567890123456789
ER4_CPN	329 - 331 	608
ER4_DCA	332 - 339 	05222000
ER4_DDA	340 - 342 	235
ER4_FCD	343 - 345 	111
ER4_ARC	346 - 374 	TX0154400
ER4_MCC	375 - 376 	CC
ER4_JUV	377	J
ER4_DWI0	378 - 385 	05222000
ER4_DWI1	386 - 393 	05222000
ER4_DWI2	394 - 401 	05222000
ER4_DWI3	402 - 409 	05222000
ER4_DWI4	410 - 417 	05222000
ER4_DWI5	418 - 425 	05222000
ER4_DWI6	426 - 433 	05222000
ER4_DWI7	434 - 441 	05222000
ER4_DWI8	442 - 449 	05222000
ER4_DWI9	450 - 457 	05222000
ER4_NAM	458 - 487 	GREENGUEZ,LARRYEL RYANONY
ER4_SEX	488	M
ER4_RAC	489	W
ER4_DOB	490 - 497 	11111970
ER4_CID	498 - 505 	a c 1234
ER4_CONS	506 - 513 	12345678
ER4_DMV	514-514 	Y
ER4_VIC	515 - 516 	29
UNUSED	517 - 533
