GROCERY	RESTAURANT	FRIVILOUS	CAR	UTILITIES	FOOD	AUTOREPAIR	RENT
Walmart	Taco Bell	Staples	Circle K	APS(Power)	Walmart	AmericanFivestar	Dave(DecRent)+Deposit
Frys	KFC	HarkinsTheatre	AutoZone	CenturyLink	Frys	DiscountTire	Dave(JanRent)
Safeway	Dunkin Donuts	ModeWorl	Chevron	SWGas	Safeway	Auto-Self-Repair	Dave(FebRent)
Sprouts	LittleCaesars	SmoLing	MissionPalmsLot	T-Mobile	Sprouts	PickAndPull	Dave(MarRent)
Dollar Tree	InNOut	GoodWill	Arco Gasoline		Dollar Tree	JiffyLube	Dave(AprRent)
99CentStore	Olive Garden	FatCats	Shell		99CentStore		Dave(MayRent)
Walgreens	Dairy Queen	Imagine3D	Sky Harbor Intl		Walgreens		Dave(JunRent)
Target	PandaExpress	Reynolds	JessesFoodMart		Target		Dave(JulRent)
DollarTree	JackInTheBox	Apollo Cleaners	Frys Gas		DollarTree		Dave(AugRent)
Food City	Osaka	GolfLand	OReilly Auto Parts		Food City		Dave(SepRent)
GlacierWaterVending	RainbowDonuts	USPS	CarpartsCOM		GlacierWaterVending		Dave(OctRent)
Raleys	Little Caesars	UPS Store	QTGasStation		Raleys		Dave(NovRent)
Chubby Chipmunk	JimmyJohns	DeLa	CheapNEasyTrafficSchool		Chubby Chipmunk		Dave(DecRent)
CandyShop	Subway	TotalElement	Conco		CandyShop		Dave(Apr-AugRent)
Powell'sSweetShop	Los Reyes De La Torta	LoPl	Marathon Gas		Powell'sSweetShop		Dave(May-AugRent)
Bashas	Chipotle	Ebay	QuikTripGas		Bashas		Dave(Sep-FebRent)
FoodMaxx	McDonalds	SkateLand	WoodlandFuelStop		Taco Bell		
	Salut	DKC DIGI KEY CORP			KFC		
	MapleGarden	Patreon			Dunkin Donuts		
	BaskinRobins	SUBSCRIBESTAR			LittleCaesars		
	Arizona Donut Company	OneStopGas&Food			InNOut		
	Casa Ramos	home depot			Olive Garden		
	Sharis	Oculus			Dairy Queen		
	Pizza Hut	Dysney Plus			PandaExpress		
	Round Table	Mount Shasta Ski Park			JackInTheBox		
	Lassen Mineral Lodge	Tomasini BlackSmithing			Osaka		
	Ramos Donut House	Online Metal			RainbowDonuts		
	Two Buds BBQ	Amazon			Little Caesars		
	Palomino Room	SQRedding			JimmyJohns		
	Bogeys Café	Prime Cinemas			Subway		
	Papa Murphys	CheckForCash			Los Reyes De La Torta		
	Koi Palace	Fair			Chipotle		
	PeterPiperPizza	Allegent Air			McDonalds		
	OrganStopPizza	Gaumers			Salut		
	TexasRoadhouse	Metro			MapleGarden		
	BurritoBandito	Tanerite			BaskinRobins		
	Ikkyu	KhaiHoanRestaurant			Arizona Donut Company		
	RBAirport	NewAsianExpress			Casa Ramos		
	Commons	Aurora Illustration			Sharis		
	Zambris	LandisCyclery			Pizza Hut		
	NauticalNellies	PersonalPreference			Round Table		
	Wendys	MesaMarket			Lassen Mineral Lodge		
	CoastVictoriaHote	SwingInASafari			Ramos Donut House		
	Steamship Grill	BurbankAirportFood			Two Buds BBQ		
	Luigis	CVS			Palomino Room		
	Thai House	Harbor Freight			Bogeys Café		
	That Place	Credit			Papa Murphys		
	Caldwell County BBQ	WildfireLighting			Koi Palace		
	PeterChus	Ecrater			PeterPiperPizza		
	OtroLLaTaqueria	EconomyCandy			OrganStopPizza		
	Burger King	StateTheatre			TexasRoadhouse		
	Cke Pinetop Brewing	Zorbas			BurritoBandito		
	CharlieClarks	Youtube			Ikkyu		
	Culvers	Dri Crucial			RBAirport		
	ChanpenThaiCuisine	BoardgameArena			Commons		
	Dennys	Ace Hardware			Zambris		
	LinsGrandBuffet	MEC			NauticalNellies		
	Eagles Nest Pizza	CostVictoriaHote			Wendys		
	Headies pizza and Po	Spa			CoastVictoriaHote		
	GrandBuffet	PuzzleLab			Steamship Grill		
	KopperKettleCafe	EvSe			Luigis		
	Red Lobster	XrLLC			Thai House		
		Barbershop			That Place		
		HopOnHopOff			Caldwell County BBQ		
		ValleyCinema			PeterChus		
		MatrixCardsGames			OtroLLaTaqueria		
		Pride Gas			Burger King		
		HornBlasters			Cke Pinetop Brewing		
		RenesanceFestival			CharlieClarks		
		UVBeast			Culvers		
		Recreation.gov			ChanpenThaiCuisine		
		Gilbert4THJuly			Dennys		
		Lowes			LinsGrandBuffet		
		Batteries Plus Bulbs			Eagles Nest Pizza		
		Bga Trial Over			Headies pizza and Po		
		UntamedConfections					
		CoyoteCountrySeason					
		Carwash					
		KingleyNorthLapidary					
		HemiSync					
		United Airlines					
		Falling Prices Red Bluff					
		Hampton Inn					
		Yubico					
		IdentiGo Fingerprinting					
		Katrina Eglian Dentist					
		UPS					
		Office Depot					
