Date	Name	Location	Amount
11/25/2020	Dave(DecRent)+Deposit	Phoenix Arizona	1225.00
12/5/2020	CenturyLink	Phoenix Arizona	65.22
12/18/2020	Dollar Tree	Phoenix Arizona	4.13
12/18/2020	Safeway	Phoenix Arizona	26.22
12/18/2020	Frys	Phoenix Arizona	27.90
12/20/2020	Dollar Tree	Phoenix Arizona	5.09
12/20/2020	Dave(JanRent)	Phoenix Arizona	725.00
12/26/2020	Circle K	Phoenix Arizona	45.10
12/26/2020	AutoZone	Phoenix Arizona	237.80
12/27/2020	Dollar Tree	Phoenix Arizona	3.24
12/27/2020	Dollar Tree	Phoenix Arizona	5.21
12/27/2020	Frys	Phoenix Arizona	9.43
12/31/2020	Frys	Phoenix Arizona	4.66
12/31/2020	Walmart	Phoenix Arizona	48.03
1/5/2021	SWGas	Phoenix Arizona	80.00
1/9/2021	Dollar Tree	Phoenix Arizona	3.05
1/9/2021	Frys	Phoenix Arizona	6.10
1/9/2021	Walmart	Phoenix Arizona	47.68
1/9/2021	APS(Power)	Phoenix Arizona	305.25
1/10/2021	Walmart	Phoenix Arizona	3.65
1/12/2021	CenturyLink	Phoenix Arizona	65.22
1/16/2021	Frys	Phoenix Arizona	6.09
1/16/2021	99CentStore	Phoenix Arizona	8.57
1/16/2021	Walmart	Phoenix Arizona	25.68
1/17/2021	Walmart	Phoenix Arizona	5.57
1/17/2021	99CentStore	Phoenix Arizona	9.51
1/22/2021	Dollar Tree	Phoenix Arizona	7.31
1/22/2021	Frys	Phoenix Arizona	7.97
1/22/2021	Walmart	Phoenix Arizona	25.26
1/22/2021	Dave(FebRent)	Phoenix Arizona	725.00
1/26/2021	SWGas	Phoenix Arizona	67.94
1/29/2021	PandaExpress	Phoenix Arizona	8.86
1/29/2021	Frys	Phoenix Arizona	17.36
1/29/2021	Walmart	Phoenix Arizona	31.29
1/31/2021	Dollar Tree	Phoenix Arizona	3.12
1/31/2021	Dollar Tree	Phoenix Arizona	3.24
1/31/2021	Staples	Phoenix Arizona	4.31
1/31/2021	Taco Bell	Phoenix Arizona	5.93
2/5/2021	99CentStore	Phoenix Arizona	6.11
2/5/2021	Walmart	Phoenix Arizona	39.28
2/5/2021	Frys	Phoenix Arizona	4.66
2/6/2021	APS(Power)	Phoenix Arizona	30.94
2/6/2021	Chevron	Phoenix Arizona	37.00
2/6/2021	MissionPalmsLot	Phoenix Arizona	3.00
2/6/2021	PandaExpress	Phoenix Arizona	13.84
2/7/2021	HarkinsTheatre	Phoenix Arizona	25.00
2/7/2021	ModeWorl	Phoenix Arizona	97.27
2/7/2021	Olive Garden	Phoenix Arizona	34.01
2/10/2021	KFC	Phoenix Arizona	15.44
2/12/2021	CenturyLink	Phoenix Arizona	65.22
2/13/2021	Dollar Tree	Phoenix Arizona	5.21
2/13/2021	Frys	Phoenix Arizona	19.15
2/13/2021	Walmart	Phoenix Arizona	43.00
2/18/2021	Chevron	Phoenix Arizona	39.00
2/20/2021	Dairy Queen	Phoenix Arizona	8.13
2/20/2021	Walmart	Phoenix Arizona	35.36
2/20/2021	Frys	Phoenix Arizona	14.45
2/21/2021	Walgreens	Phoenix Arizona	16.20
2/21/2021	SmoLing	Phoenix Arizona	78.05
2/21/2021	Dollar Tree	Phoenix Arizona	5.09
2/21/2021	Walmart	Phoenix Arizona	44.32
2/21/2021	Walmart	Phoenix Arizona	13.68
2/23/2021	Apollo Cleaners	Phoenix Arizona	26.50
2/27/2021	Walmart	Phoenix Arizona	38.95
2/27/2021	Frys	Phoenix Arizona	9.13
2/27/2021	99CentStore	Phoenix Arizona	4.79
2/27/2021	Dollar Tree	Phoenix Arizona	5.09
2/27/2021	Frys	Phoenix Arizona	4.12
2/27/2021	Dave(MarRent)	Phoenix Arizona	725.00
3/2/2021	SWGas	Phoenix Arizona	24.69
3/3/2021	ModeWorl	Phoenix Arizona	36.74
3/5/2021	AmericanFivestar	Phoenix Arizona	1139.17
3/5/2021	Food City	Phoenix Arizona	5.49
3/5/2021	99CentStore	Phoenix Arizona	5.09
3/5/2021	Frys	Phoenix Arizona	6.09
3/6/2021	Dunkin Donuts	Phoenix Arizona	6.12
3/6/2021	Dunkin Donuts	Phoenix Arizona	5.68
3/7/2021	Dollar Tree	Phoenix Arizona	3.24
3/7/2021	Chevron	Phoenix Arizona	58.55
3/7/2021	Walmart	Phoenix Arizona	20.95
3/12/2021	Frys	Phoenix Arizona	12.52
3/12/2021	Walmart	Phoenix Arizona	25.50
3/12/2021	99CentStore	Phoenix Arizona	9.15
3/12/2021	CenturyLink	Phoenix Arizona	65.22
3/13/2021	APS(Power)	Phoenix Arizona	31.10
3/14/2021	Walmart	Phoenix Arizona	6.96
3/14/2021	Walmart	Phoenix Arizona	4.21
3/14/2021	99CentStore	Phoenix Arizona	2.16
3/16/2021	PandaExpress	Phoenix Arizona	11.03
3/16/2021	AmericanFivestar	Phoenix Arizona	1400.84
3/16/2021	SWGas	Phoenix Arizona	27.62
3/19/2021	Frys	Phoenix Arizona	6.09
3/19/2021	Walmart	Phoenix Arizona	50.38
3/20/2021	Frys	Phoenix Arizona	3.24
